sku,store,attribute_set,type,categories,created_at,description,glass_color,glass_cutouts,glass_height,glass_thickness,glass_width,handle_style,hardware_depth,hardware_finish,hardware_length,hardware_orientation,has_options,hinge_orientation,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,options_container,page_layout,panel_count,panel_type,price,required_options,seal_color,seal_length,seal_type,short_description,shower_depth_max,shower_depth_min,shower_layout,shower_length_max,shower_length_min,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image
PRO-PLA-34,default,Shower Seals,simple,Shower Hardware/Seals,2015-05-20T09:54:03-06:00,"<div><strong>A flexible glass shower door seal at a fraction of the cost of our competitors! &nbsp;</strong></div>
<div>&nbsp;</div>
<div>35"" Shower Door Seal attaches to the bottom of your glass panel to prevent water from leaking out of your shower.</div>
<div>&nbsp;</div>
<div>This clear plastic door seal has a rigid formed u-channel that simply slips onto the bottom edge of your glass door, making installation a breeze! No glue or tools needed!&nbsp;</div>
<div>&nbsp;</div>
<div>Dimensions:</div>
<div>&nbsp;</div>
<div>- 35"" wide</div>
<div>- 3/4"" thick seal with a 1/2"" u-channel</div>
<div>&nbsp;</div>
<div>This seal is in stock and ready to ship out to your home from our warehouse, located in beautiful Denver, Colorado. Shower seals are shipped usually within 3 business days of your order.&nbsp;</div>
<div>&nbsp;</div>
<div>Works great with our Prosto brand Frameless Showers, you can find them listed on our ebay store.</div>
<div>&nbsp;</div>
<div>&nbsp;</div>",,,,,,,,,,,0,,no_selection,,,,,,,,,Use config,Use config,34 Shower Door Sealing Strip,,Product Info Column,,,,14.97,0,,,,34 Shower Door Sealing Strip,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,5/29/2015 20:16:33,34-shower-door-sealing-strip,34-shower-door-sealing-strip.html,"Catalog, Search",1,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-PLA-35,default,Shower Seals,simple,Shower Hardware/Seals,2015-05-20T09:54:03-06:00,"<div><strong>A flexible glass shower door seal at a fraction of the cost of our competitors! &nbsp;</strong></div>
<div>&nbsp;</div>
<div>35"" Shower Door Seal attaches to the bottom of your glass panel to prevent water from leaking out of your shower.</div>
<div>&nbsp;</div>
<div>This clear plastic door seal has a rigid formed u-channel that simply slips onto the bottom edge of your glass door, making installation a breeze! No glue or tools needed!&nbsp;</div>
<div>&nbsp;</div>
<div>Dimensions:</div>
<div>&nbsp;</div>
<div>- 35"" wide</div>
<div>- 3/4"" thick seal with a 1/2"" u-channel</div>
<div>&nbsp;</div>
<div>This seal is in stock and ready to ship out to your home from our warehouse, located in beautiful Denver, Colorado. Shower seals are shipped usually within 3 business days of your order.&nbsp;</div>
<div>&nbsp;</div>
<div>Works great with our Prosto brand Frameless Showers, you can find them listed on our ebay store.</div>
<div>&nbsp;</div>
<div>&nbsp;</div>",,,,,,,,,,,0,,/PRO-PLA-35/frameless-shower-door-seal.jpg,,,/PRO-PLA-35/frameless-shower-door-seal.jpg;/PRO-PLA-35/frameless-shower-door-seal.jpg;/PRO-PLA-35/frameless-shower-door-seal.jpg;/PRO-PLA-35/seal_4.jpg;/PRO-PLA-35/seal_3.jpg,,,,,,Use config,Use config,35 Shower Door Sealing Strip,,Product Info Column,,,,14.97,0,,,,35 Shower Door Sealing Strip,,,,,,/PRO-PLA-35/frameless-shower-door-seal.jpg,,,,,Enabled,Taxable Goods,/PRO-PLA-35/frameless-shower-door-seal.jpg,,5/29/2015 20:15:29,35-shower-door-sealing-strip,35-shower-door-sealing-strip.html,"Catalog, Search",1,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-PLA-96,default,Shower Seals,simple,Shower Hardware/Seals,2015-05-20T09:54:03-06:00,96 Shower Door Sealing Strip,,,,,,,,,,,0,,/PRO-PLA-96/frameless-shower-door-seal_1_1.jpg,,,/PRO-PLA-96/frameless-shower-door-seal_1_1.jpg;/PRO-PLA-96/frameless-shower-door-seal_1_1.jpg;/PRO-PLA-96/frameless-shower-door-seal_1_1.jpg,,,,,,Use config,Use config,96 Shower Door Sealing Strip,,Product Info Column,,,,35,0,,,,96 Shower Door Sealing Strip,,,,,,/PRO-PLA-96/frameless-shower-door-seal_1_1.jpg,,,,,Enabled,Taxable Goods,/PRO-PLA-96/frameless-shower-door-seal_1_1.jpg,,6/1/2015 20:15:10,96-shower-door-sealing-strip,96-shower-door-sealing-strip.html,"Catalog, Search",1,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-PLA-72,default,Shower Seals,simple,Shower Hardware/Seals,2015-05-20T09:54:03-06:00,"<div><strong>A flexible glass shower panel seal at a fraction of the cost of our competitors! &nbsp;</strong></div>
<div><br /><strong>This clear plastic seal has a rigid formed u-channel that simply slips onto the side edge of your glass panel, making installation a breeze! No glue or tools needed!&nbsp;</strong></div>
<div>&nbsp;</div>
<div>This is a 72"" tall clear, plastic shower seal that will seal the door (or if you choose the rear side of your panel can also be sealed by simply cutting this seal to go around your hinges)</div>
<div>&nbsp;</div>
<div><strong>Dimensions:</strong></div>
<div>- 72"" tall</div>
<div>- 1 1/8"" thick with the u-channel portion going over your&nbsp;glass panel by 1/2"" &nbsp;and the&nbsp;flap/seal is the remaining 5/8""</div>
<div>&nbsp;</div>
<div>This seal is in stock and ready to ship out to your home from our warehouse, located in beautiful Denver, Colorado.</div>
<div>&nbsp;</div>
<div>Perfect for use with our frameless showers - to view these items visit our store on ebay.</div>
<div>&nbsp;</div>
<div>&nbsp;</div>",,,,,,,,,,,0,,/PRO-PLA-72/shower-glass-waterproof-door-strip-clear-003.png,,,/PRO-PLA-72/shower-glass-waterproof-door-strip-clear-003.png;/PRO-PLA-72/shower-glass-waterproof-door-strip-clear-003.png;/PRO-PLA-72/shower-glass-waterproof-door-strip-clear-003.png,,,,,,Use config,Use config,"Shower Door Seal- Clear, 72 Inch  ",,Product Info Column,,,,14.97,0,,,,72 Shower Door Sealing Strip,,,,,,/PRO-PLA-72/shower-glass-waterproof-door-strip-clear-003.png,,,,,Enabled,Taxable Goods,/PRO-PLA-72/shower-glass-waterproof-door-strip-clear-003.png,,6/3/2015 21:39:47,72-shower-door-sealing-strip,72-shower-door-sealing-strip.html,"Catalog, Search",1,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-MAG-02-72,default,Shower Seals,simple,Shower Hardware/Seals,2015-05-20T09:54:03-06:00,72 Magnetic Shower Door Sealing Strip - Glass to Glass,,,,,,,,,,,0,,/PRO-MAG-02-72/straight.jpg,Straight Enclosure,,/PRO-MAG-02-72/straight.jpg;/PRO-MAG-02-72/straight.jpg;/PRO-MAG-02-72/straight.jpg;/PRO-MAG-02-72/corner.jpg,,,,,,Use config,Use config,72 Magnetic Shower Door Sealing Strip - Glass to Glass,,Product Info Column,,,,29,0,,,,72 Magnetic Shower Door Sealing Strip - Glass to Glass,,,,,,/PRO-MAG-02-72/straight.jpg,Straight Enclosure,,,,Enabled,Taxable Goods,/PRO-MAG-02-72/straight.jpg,Straight Enclosure,6/1/2015 20:14:23,72-magnetic-shower-door-sealing-strip-glass-to-glass,72-magnetic-shower-door-sealing-strip-glass-to-glass.html,"Catalog, Search",3,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-MAG-03-72,default,Shower Seals,simple,Shower Hardware/Seals,2015-05-20T09:54:03-06:00,72 Magnetic Shower Door Sealing Strip - Glass to Wall - Satin Nickel,,,,,,,,,,,0,,/PRO-MAG-03-72/shower-door-magnetic-seal-door-to-wall-satin-001.png,,,/PRO-MAG-03-72/shower-door-magnetic-seal-door-to-wall-satin-001.png;/PRO-MAG-03-72/shower-door-magnetic-seal-door-to-wall-satin-001.png;/PRO-MAG-03-72/shower-door-magnetic-seal-door-to-wall-satin-001.png,,,,,,Use config,Use config,72 Magnetic Shower Door Sealing Strip - Glass to Wall - Satin Nickel,,Product Info Column,,,,39,0,,,,72 Magnetic Shower Door Sealing Strip - Glass to Wall - Satin Nickel,,,,,,/PRO-MAG-03-72/shower-door-magnetic-seal-door-to-wall-satin-001.png,,,,,Enabled,Taxable Goods,/PRO-MAG-03-72/shower-door-magnetic-seal-door-to-wall-satin-001.png,,6/1/2015 20:13:31,72-magnetic-shower-door-sealing-strip-glass-to-wall-satin-nickel,72-magnetic-shower-door-sealing-strip-glass-to-wall-satin-nickel.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-MAG-01-72-ORB,default,Shower Seals,simple,Shower Hardware/Seals,2015-05-20T09:54:04-06:00,72 Magnetic Shower Door Sealing Strip - Glass to Wall - Oil Rubbed Bronze,,,,,,,,,,,0,,/PRO-MAG-01-72-ORB/shower-door-magnetic-seal-door-to-wall-oil-rubbed-bronze-001.png,,,/PRO-MAG-01-72-ORB/shower-door-magnetic-seal-door-to-wall-oil-rubbed-bronze-001.png;/PRO-MAG-01-72-ORB/shower-door-magnetic-seal-door-to-wall-oil-rubbed-bronze-001.png;/PRO-MAG-01-72-ORB/shower-door-magnetic-seal-door-to-wall-oil-rubbed-bronze-001.png,,,,,,Use config,Use config,72 Magnetic Shower Door Sealing Strip - Glass to Wall - Oil Rubbed Bronze,,Product Info Column,,,,49,0,,,,72 Magnetic Shower Door Sealing Strip - Glass to Wall - Oil Rubbed Bronze,,,,,,/PRO-MAG-01-72-ORB/shower-door-magnetic-seal-door-to-wall-oil-rubbed-bronze-001.png,,,,,Enabled,Taxable Goods,/PRO-MAG-01-72-ORB/shower-door-magnetic-seal-door-to-wall-oil-rubbed-bronze-001.png,,6/1/2015 20:10:27,72-magnetic-shower-door-sealing-strip-glass-to-wall-oil-rubbed-bronze,72-magnetic-shower-door-sealing-strip-glass-to-wall-oil-rubbed-bronze.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-UCH-01-72,default,Shower Supports,simple,Shower Hardware/Supports,2015-05-20T09:54:04-06:00,72 U-Channel - Satin Nickel,,,,,,,,,,,0,,,,,,,,,,,Use config,Use config,72 U-Channel - Satin Nickel,,Product Info Column,,,,24.9,0,,,,72 U-Channel - Satin Nickel,,,,,,,,,,,Enabled,Taxable Goods,,,5/20/2015 15:54:04,72-u-channel-satin-nickel,72-u-channel-satin-nickel.html,"Catalog, Search",3,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-UCH-02-72,default,Shower Supports,simple,Shower Hardware/Supports,2015-05-20T09:54:04-06:00,72 U-Channel - Deep - Satin Nickel,,,,,,,,,,,0,,,,,,,,,,,Use config,Use config,72 U-Channel - Deep - Satin Nickel,,Product Info Column,,,,31.95,0,,,,72 U-Channel - Deep - Satin Nickel,,,,,,,,,,,Enabled,Taxable Goods,,,5/20/2015 15:54:04,72-u-channel-deep-satin-nickel,72-u-channel-deep-satin-nickel.html,"Catalog, Search",4,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-UCH-01-72-ORB,default,Shower Supports,simple,Shower Hardware/Supports,2015-05-20T09:54:04-06:00,72 U-Channel - Oil Rubbed Bronze,,,,,,,,,,,0,,,,,,,,,,,Use config,Use config,72 U-Channel - Oil Rubbed Bronze,,Product Info Column,,,,41,0,,,,72 U-Channel - Oil Rubbed Bronze,,,,,,,,,,,Enabled,Taxable Goods,,,5/20/2015 15:54:04,72-u-channel-oil-rubbed-bronze,72-u-channel-oil-rubbed-bronze.html,"Catalog, Search",3,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-UCH-02-72-ORB,default,Shower Supports,simple,Shower Hardware/Supports,2015-05-20T09:54:04-06:00,72 U-Channel - Deep - Oil Rubbed Bronze,,,,,,,,,,,0,,,,,,,,,,,Use config,Use config,72 U-Channel - Deep - Oil Rubbed Bronze,,Product Info Column,,,,49.5,0,,,,72 U-Channel - Deep - Oil Rubbed Bronze,,,,,,,,,,,Enabled,Taxable Goods,,,5/20/2015 15:54:04,72-u-channel-deep-oil-rubbed-bronze,72-u-channel-deep-oil-rubbed-bronze.html,"Catalog, Search",4,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-BEA-01-BN,default,Shower Supports,simple,Shower Hardware/Supports,2015-05-20T09:54:04-06:00,Glass Support Beam - Brushed Nickel,,,,,,,,,,,0,,,,,,,,,,,Use config,Use config,Glass Support Beam - Brushed Nickel,,Product Info Column,,,,39,0,,,,Glass Support Beam - Brushed Nickel,,,,,,,,,,,Enabled,Taxable Goods,,,5/20/2015 15:54:04,glass-support-beam-brushed-nickel,glass-support-beam-brushed-nickel.html,"Catalog, Search",3,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
